track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.53947,173.08969,-28.67655,23.970285,7.390615,2.7897472,6.978958,-0.59825826,-2.1196742,5.0299397,8.1644335,3.5148158,-7.2998557,81.70674,38.2139,14.787119,11.599048,12.847928,5.2042146,7.009358,5.1775765,4.1174345,6.536894,3.9253578,5.7996984,6.026277
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.77036,184.47797,-25.66151,20.282326,8.179006,3.254343,3.9419646,-3.6541355,0.74267906,8.246773,3.9913886,-2.8933592,-8.854734,60.84708,21.652237,15.193253,8.861614,12.240899,5.567446,6.274839,5.9105287,5.5605154,4.1475997,3.4714932,5.9212413,5.253386
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-90.965515,165.85521,-78.13701,57.55902,-6.182412,1.3772622,4.9763055,0.5622468,-3.3681085,-7.901519,-4.196702,1.3521849,-2.992198,45.482044,20.411268,24.69187,17.451471,8.848841,8.002898,9.516527,7.709889,8.072486,6.729269,4.9670253,5.948954,4.4103203
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-85.90366,155.74214,-63.600822,48.239258,-0.15595365,-2.2523086,3.197749,-2.4727607,-4.7052317,-11.126668,-3.121226,-3.193953,-6.1244516,42.515285,23.936598,22.535606,17.618008,12.958514,7.2532587,10.49747,6.416889,6.7130485,6.018362,6.9309916,7.255519,5.784041
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-78.50025,161.44414,-82.47334,65.31481,-12.023263,2.3439238,1.0678747,2.0401964,-3.6447432,-8.745432,-3.627226,1.1170666,-1.0031148,27.188204,13.3638525,12.26393,11.462796,7.209632,7.705909,7.1739054,5.7402225,7.21613,6.273147,6.3878465,5.305135,4.541372
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-93.87932,148.56145,-55.237408,46.819527,2.375668,-2.102391,0.6373392,2.9610326,-3.895218,-9.542111,-7.38607,-5.342444,-7.697616,38.74511,25.964874,29.103693,19.234823,11.792041,8.858936,9.405552,5.7656546,5.243682,5.359697,7.359646,9.57691,6.793467
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-243.63936,193.29245,-24.358133,18.03465,33.304047,5.7784233,-1.8882872,0.9302838,-9.020496,-14.608885,-5.727006,-2.6615975,-12.901703,71.97571,29.026396,22.062294,11.083193,14.410578,7.1580057,5.7384872,4.423169,7.267866,7.054279,5.179909,5.101474,4.137093
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-392.48456,193.3987,-64.01931,24.712513,30.606783,-1.0304773,-7.753306,-5.8819194,-10.06463,-24.825825,-21.29496,-14.133819,-10.386274,45.838688,11.811335,23.376265,16.302044,8.978861,8.066008,6.6264057,5.8865695,6.0179186,5.5236344,7.751029,6.093088,7.117818
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-403.96677,187.90405,-75.21953,25.570242,28.449392,6.864738,-11.397339,-7.900743,-10.584738,-21.864758,-17.753208,-15.86088,-18.242392,42.101547,16.916935,21.636633,13.322758,9.733431,7.375747,7.1236653,7.246399,8.099905,7.199865,5.7409034,5.0211315,6.189783
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-389.01627,181.19603,-77.028564,27.811123,31.626446,1.81874,-8.755955,-13.316549,-21.594799,-30.911884,-10.804812,-4.1747723,-20.160423,39.762856,14.086572,18.945555,12.055915,11.894388,7.744626,7.59536,5.038827,7.252003,7.2950106,6.3702173,4.598394,6.1821322
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,-407.1512,183.38504,-57.96033,20.388443,32.70882,1.9844351,-10.571564,-17.490229,-18.290268,-21.359419,-10.650142,-8.419674,-24.80904,34.54715,12.187584,19.94741,11.125673,10.091643,6.8184824,5.7877097,7.2169585,8.015994,6.1340203,5.8702254,5.735264,5.9861517
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,-392.63535,193.43419,-82.70724,25.150936,28.744625,-0.5450814,-6.4531393,-6.788323,-8.294576,-26.377438,-22.537949,-15.411625,-15.230928,40.162903,11.50405,18.317863,12.815424,12.313858,7.0998755,6.7807746,8.533365,5.556399,4.948904,6.417063,5.163801,6.503072
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,-467.69946,170.92586,-31.076523,19.93002,29.118963,2.9495256,-7.3760242,-5.163066,-10.593022,-25.304752,-14.34839,-4.5783844,-9.8487015,101.786545,33.781616,51.017693,14.308105,11.002008,10.122848,10.096787,8.261231,6.874214,10.111338,10.527371,8.275867,7.1863112
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,-404.9569,175.96849,-39.59766,37.340935,29.93293,18.104414,-2.5751898,1.3765004,-4.4444304,-13.792704,0.81449723,4.5997458,-8.292052,56.38198,14.693159,22.255653,12.576455,9.6061125,8.54458,5.9281335,9.30712,7.35368,6.7601805,5.775303,5.7153726,5.441542
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,-452.92264,161.75655,-72.76516,41.479477,22.455101,3.631681,-11.152213,-1.4068375,-1.516458,-18.705135,-10.375208,-0.352364,-9.178599,37.316887,15.547419,21.973757,16.572226,12.1604595,10.480023,5.892799,8.580378,5.1674533,6.2656355,8.179377,5.7857823,6.729931
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,-348.33856,183.7262,-22.856089,28.894306,37.035294,17.754387,3.393253,12.746427,10.331194,-4.898182,3.759187,0.72643596,-1.9372897,36.52536,16.86264,19.126493,13.539681,7.2537994,6.241815,6.307543,4.5824943,6.5748496,5.802885,6.1031895,5.7638984,4.625267
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,-387.6993,181.40518,-47.262794,39.00578,32.668827,12.118862,0.8009309,-9.282903,-12.092841,-13.398935,2.0057719,-0.91298175,-12.765757,28.790268,11.5044155,15.734812,9.849237,9.139893,6.7717085,5.9806023,7.7478743,5.9873214,5.124487,5.432636,4.858708,5.9222693
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,-421.82504,174.73518,-56.887947,35.96234,28.6104,12.446077,-4.8331957,-5.440364,-3.9150674,-7.416238,5.59281,0.6152635,-15.156788,30.494572,14.654251,14.235177,11.482376,9.995374,5.082433,6.0152802,7.2503176,8.205274,7.865426,5.887667,4.4414344,5.0356903
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,-386.60596,177.57849,-72.38907,43.934895,29.335447,17.390388,2.01316,-1.5991402,2.5334506,-8.101677,-2.7111535,-5.9298825,-10.823783,24.353022,11.955718,15.993674,8.907616,7.863531,5.91218,6.357317,6.3087873,6.165232,6.8998256,5.6074057,7.039494,6.498729
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,-375.0923,188.04126,-58.07484,28.125334,29.647245,13.1685095,-4.414373,0.014606142,-6.392552,-19.405018,-3.5948727,-4.128498,-9.693966,39.591793,13.658335,15.674305,9.805571,9.754389,7.1889563,8.326388,7.2226434,6.285675,6.2375035,6.3366675,7.089817,7.7078967
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,-307.51938,170.34135,-47.388523,31.329403,34.271606,14.806807,-4.589739,10.21078,-4.3371363,-17.532692,-10.158196,-7.445537,-10.227815,49.643494,34.878574,20.265049,9.91678,8.138772,7.5477953,7.505658,8.988419,5.2663035,6.665282,6.841157,7.2050695,6.116246
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,-292.69574,158.9626,-25.739996,36.25593,25.961674,12.086039,0.10326906,10.954028,-6.760811,-7.7884884,-8.5780325,-2.1882844,-8.188579,44.24716,29.959438,29.230082,14.436044,8.112908,7.2821293,6.7041106,7.7407813,8.236562,6.486416,5.3545313,5.960922,8.593643
st12-jangan_pernah_berubah,pre-chorus,F,I,72.190839002,72.98031746,-322.35287,165.52031,-17.973534,36.36889,22.91462,19.773308,-9.486815,9.34551,-0.7673831,-8.116449,-14.104134,1.7479017,1.7601026,45.689167,28.73811,14.301153,7.0234957,5.01814,4.0350537,4.3164406,8.198065,3.6859093,3.9475727,5.6975627,4.467767,4.4065604
st12-jangan_pernah_berubah,pre-chorus,Em,vii,72.98031746,73.793015873,-244.34744,153.73761,-37.316414,30.301863,13.002092,14.378076,-5.672467,16.287056,-0.09804474,-7.7199225,-13.921233,-6.3683033,-9.235795,44.518276,24.635843,20.731003,7.9655247,7.2914147,5.021333,4.514628,5.1349983,3.7398262,4.519841,5.8246083,5.727258,4.566732
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,73.793015873,75.348752834,-280.1117,170.28206,-39.903664,39.642406,22.052395,12.28436,2.0530431,12.022023,-5.603086,-13.67534,-8.235274,1.428132,-8.014443,38.812275,16.427473,10.295389,9.065509,6.0621204,7.3501387,6.147234,5.08383,7.4979177,5.1655207,5.661294,5.186385,4.5797358
st12-jangan_pernah_berubah,pre-chorus,Em,vii,75.348752834,76.834829932,-283.20862,164.71484,-29.037514,30.754387,12.576408,8.377331,-9.573517,8.706688,4.9338293,-3.3097842,-14.708649,-6.1165133,-10.093171,45.98626,29.78346,19.84293,10.377702,8.765702,6.230332,7.068757,5.592861,7.3965282,6.3055615,5.949222,5.7520366,7.433858
