track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.47,173.04747,-28.668266,23.992476,7.431228,2.7491255,7.0604906,-0.6822718,-1.9991578,4.9234385,8.270554,3.447569,-7.243141,81.67611,38.168453,14.800369,11.547727,12.826583,5.198389,6.968819,5.202669,4.120317,6.551257,3.9117336,5.77237,6.020085
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.69514,184.41852,-25.657866,20.291952,8.225698,3.1707458,4.0519795,-3.7803998,0.8752329,8.122023,4.104809,-2.979996,-8.783708,60.805344,21.696749,15.190453,8.803339,12.203253,5.5609374,6.2384777,5.926864,5.5982633,4.172632,3.4552302,5.937297,5.2212653
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-83.88722,173.37413,-69.40668,64.12876,0.75807256,6.927253,10.515208,5.201802,1.2825884,-4.063272,-0.4171301,4.4511895,-0.021572767,45.55089,22.00774,23.744873,18.588425,9.160367,7.2467613,8.48673,7.2572327,6.9527926,7.308639,4.918357,5.8694463,4.5459933
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-78.991356,163.28683,-55.634766,54.254868,5.3726788,2.0888648,6.5766177,0.13011886,-2.8469253,-10.009856,-2.5251913,-3.2221408,-6.451613,42.297783,24.421242,23.05811,17.47525,12.912336,6.903598,9.933812,6.093252,6.2335324,5.8801546,5.849639,6.7905726,5.4354067
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-71.626015,169.40077,-73.68279,72.41459,-4.4039583,8.578365,7.589899,7.4887676,1.8911625,-4.0485353,0.9634201,5.0000386,2.6154935,25.896734,13.900879,13.42394,10.86063,8.388051,7.3876166,7.4781775,5.376873,5.6460557,6.1601787,5.526516,5.9545236,4.943269
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-88.675835,155.61826,-48.830086,52.460205,7.4285064,2.3090925,4.403735,6.217592,-1.2006408,-7.309729,-5.7172766,-4.1266136,-7.0991635,38.958565,25.549402,29.579153,18.669132,11.461761,8.521508,8.204259,5.512502,4.777313,5.514481,6.8281603,9.153543,6.598554
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-238.48543,199.62466,-18.268965,23.68594,38.224976,10.676899,2.436169,4.886772,-5.3020735,-11.440695,-2.7837884,-0.06350955,-10.808472,72.783264,28.154882,21.883944,11.723492,14.044515,7.154493,5.9809375,4.618832,6.7716165,6.5882235,4.79399,4.7933164,3.9368198
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-392.4486,193.93741,-63.846855,25.062323,30.86234,-0.6753175,-7.501228,-5.5343027,-9.759197,-24.598005,-20.954647,-13.901656,-10.086334,45.947983,11.448637,23.088856,16.41263,8.915057,8.138713,6.4566736,5.808182,5.9562325,5.5302305,7.849066,6.2530866,7.1397495
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-403.5827,187.55624,-74.70653,25.33715,28.783878,6.768865,-11.217247,-7.8457937,-10.489435,-21.698458,-17.774889,-15.605321,-18.343714,42.003574,17.13276,22.036863,13.653359,9.533517,7.270034,7.081689,7.201852,8.05022,7.1192374,5.7364736,5.0714345,6.1313043
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-388.52362,180.8796,-76.39561,27.63308,32.08332,1.8194251,-8.47507,-13.170514,-21.40352,-30.69109,-10.691309,-3.929318,-20.04743,39.772514,14.715362,19.50373,12.576614,11.870296,7.5186515,7.5607014,4.947515,7.2493825,7.2870407,6.351939,4.5556154,6.226815
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,-406.5728,182.84692,-57.34562,20.123014,33.008347,1.956496,-10.417733,-17.410378,-18.18871,-21.249966,-10.565274,-8.290689,-24.797787,34.735268,13.522068,20.571157,11.086122,9.91055,6.7419724,5.786862,7.243737,7.967708,6.1380095,5.8346744,5.8092704,5.8805356
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,-392.43253,193.50182,-82.44527,25.246521,28.952944,-0.40001142,-6.2852035,-6.6351204,-8.105612,-26.25582,-22.335478,-15.243998,-15.100165,40.175774,11.565744,18.323507,12.728292,12.304164,7.1899705,6.782265,8.465459,5.530946,4.9388103,6.339721,5.1354923,6.404642
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,-334.57413,161.02025,-22.963528,2.22067,29.547606,1.6818781,-4.435559,-0.40468153,-8.647842,-17.773775,-11.027486,-1.9977311,-5.7112336,44.171585,25.801619,23.748085,11.802913,12.410622,9.642092,12.311878,7.9741516,10.188933,15.140595,9.133827,6.0667405,6.6081877
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,-338.6867,181.01346,6.5822654,36.591908,54.93465,28.327147,17.046682,15.590841,10.140942,2.183964,11.05784,14.253898,-1.0618675,47.78332,19.941864,17.515419,10.829247,13.891576,9.253868,5.9634213,5.6830835,5.6453342,7.7413745,7.5413914,6.3336587,6.528955
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,-371.64648,159.94249,10.468356,52.285694,71.76038,30.105968,21.005823,28.38901,20.942125,6.780207,9.330417,17.422848,5.932637,29.541563,13.809331,19.793262,14.844956,9.524649,9.5509405,7.6797323,8.025419,6.5915513,6.542832,5.2745748,5.162745,4.840681
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,-318.82895,190.56067,4.402905,37.28447,54.386356,28.436232,16.454563,24.124975,19.952969,6.38122,11.555228,8.721321,3.9444232,28.782326,14.575934,19.988625,12.186904,7.9939127,5.4970317,5.828761,4.861107,5.3488865,5.089636,5.615601,5.6520934,4.699775
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,-338.6133,183.4749,2.1747668,46.38992,63.107544,27.656515,20.317034,10.811962,1.0729744,4.6048985,13.345453,11.707201,-1.9012939,31.3727,13.545867,16.623041,10.795042,10.781867,8.202428,4.907187,5.3776684,6.4937744,6.519464,5.343889,5.036759,5.4742556
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,-364.89435,175.79051,4.0576887,47.46495,69.419,33.172512,22.06471,20.011955,15.161898,14.904777,21.464174,16.994192,-0.42835644,26.541838,12.225431,13.563542,9.6938095,10.859324,6.7279077,6.7766786,7.930868,6.877865,7.4232264,5.7661524,4.3831863,4.419176
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,-333.63425,169.80693,-12.8396225,45.469894,67.65827,31.100006,24.372326,19.522335,16.682917,12.614179,9.566152,8.967579,1.4340328,31.01347,12.33192,14.897922,9.510767,10.681554,6.1910987,6.922139,8.6342,6.3514857,6.5535817,5.787078,6.427844,6.398312
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,-326.73383,186.97832,-3.2233148,37.737865,66.17308,32.01775,19.994385,22.570889,11.646235,1.8626192,11.6905155,13.010177,3.803485,35.71233,13.703194,19.206982,8.70515,10.708356,8.110252,7.4688826,9.026413,7.216505,5.687847,5.5056276,7.047304,7.309677
