track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.49028,173.14317,-28.657156,24.043367,7.459844,2.761286,7.1083865,-0.6616106,-1.9620782,4.9625773,8.295362,3.4903722,-7.2248464,81.58787,38.068066,14.864918,11.516274,12.830524,5.178296,6.9607983,5.21266,4.131659,6.5278144,3.875361,5.754947,6.0387945,0.1088884,0.17609408,0.81291455,0.1026683,0.28533363,0.460049,0.14649233,0.089044996,0.14755377,0.5653859,0.06674826,0.07660334,0.048239272,0.100538746,0.24916512,0.117703095,0.3221013,0.38515547,0.06204947,0.05461582,0.060345814,0.18843989,0.033757105,0.03711291
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.69452,184.45216,-25.626188,20.291859,8.269847,3.16379,4.0675097,-3.7409685,0.8539179,8.175277,4.100931,-2.964274,-8.751935,60.789143,21.698038,15.22123,8.814904,12.207845,5.5440664,6.245421,5.885358,5.569677,4.1774077,3.4684653,5.916235,5.219399,0.11231459,0.16023172,0.82005125,0.106673695,0.082001805,0.3592528,0.15085861,0.4377719,0.14163648,0.6117164,0.07785888,0.08252234,0.059944954,0.107128955,0.26542222,0.12755504,0.08701326,0.33628428,0.06653353,0.3745246,0.08247317,0.2109433,0.05853069,0.04678371
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-10.685523,92.9644,-9.124819,30.324518,14.483878,5.899613,6.604182,9.087804,-2.036646,-0.89837015,-1.307628,6.58704,-1.4700567,55.367516,17.592031,13.21387,8.074705,7.521136,5.1987205,7.642882,7.0164704,5.654754,5.7222166,5.1518974,5.0778975,4.8167343,0.2973532,0.40267006,0.9833529,0.30328193,0.3944525,0.40303305,0.2933859,0.3100771,0.29564348,0.7507187,0.29070044,0.2960393,0.15598847,0.15847851,0.059872456,0.14124519,0.18178643,0.18813609,0.15892297,0.19365257,0.16279557,0.14797856,0.17827277,0.14517583
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-1.268563,87.88593,-4.118583,29.5976,12.850832,5.70534,2.0889847,4.4603696,-5.934522,-6.1300235,-3.2107327,1.3376067,-8.211526,31.796068,12.001852,11.276157,7.093064,8.004124,6.9963903,7.398895,6.6115446,6.2927933,5.557116,5.343207,5.896284,5.705611,0.23505843,0.2690143,0.97557545,0.28978977,0.2565237,0.32403204,0.27845436,0.52674866,0.38584322,0.5528651,0.43372357,0.28274313,0.12587892,0.16012417,0.08484557,0.14527024,0.13943736,0.18620853,0.13754925,0.2657574,0.18883859,0.18815972,0.13330775,0.14476648
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,2.3663895,88.55433,-9.967531,33.44366,15.218797,2.3640223,7.472633,9.455343,-0.37463084,-0.7222711,-0.18176278,7.7316647,0.33721578,23.085411,9.712694,11.685621,7.219633,8.075542,4.9687243,7.1720877,4.768302,5.22602,5.724339,5.2113066,4.9363437,4.237126,0.28496152,0.36089712,0.91258305,0.3313216,0.43751958,0.4006988,0.29144707,0.28926656,0.29724604,0.72647005,0.26839536,0.27630228,0.1599805,0.14349325,0.13799097,0.22032905,0.2200986,0.17682144,0.18948166,0.18328455,0.14005199,0.19379629,0.1341745,0.19477619
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-12.400613,86.527725,-2.4512014,31.137634,13.71482,5.135326,1.3118252,7.7677193,-3.0898278,-4.620243,-5.197078,0.8233599,-7.6346154,40.515083,14.646008,11.805832,6.1723146,7.5342803,7.6069613,5.742765,6.436609,4.460656,5.420492,5.8812222,7.971264,5.6394124,0.21895769,0.24918483,0.8862656,0.2216471,0.23767507,0.32854757,0.2909624,0.5740146,0.3576777,0.563256,0.45932466,0.24804832,0.10578815,0.119390145,0.21629691,0.10712726,0.1410276,0.17540348,0.14200094,0.29998598,0.18843721,0.22576994,0.16756386,0.124671824
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-192.4352,153.88191,-1.1941025,29.236235,25.70391,18.985163,0.46026826,4.4903865,-4.6248727,-9.916853,-3.8261259,1.5512873,-11.089138,106.05268,37.039555,14.772465,12.673453,18.251194,9.629015,6.6344314,5.6037807,6.055251,7.945123,4.309294,3.8567572,4.0521374,0.100629054,0.10633193,0.9453199,0.12349465,0.14604789,0.18774769,0.11460003,0.37127575,0.14340177,0.6915953,0.1144893,0.092034854,0.11558897,0.11677914,0.123224765,0.14665487,0.18669936,0.16905753,0.16020747,0.22090282,0.14263067,0.18722464,0.14994888,0.12565361
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-391.63333,193.70134,-63.44421,25.48735,30.830776,-0.18829277,-7.4179487,-5.149715,-9.547762,-24.318876,-20.586409,-13.684355,-9.764123,45.91805,11.230309,22.983963,16.204226,8.797149,8.011431,6.3826776,5.7379165,5.8389363,5.5256515,7.698211,6.2468524,7.0079827,0.5841145,0.105303615,0.19068095,0.07532863,0.48835754,0.086206645,0.06330493,0.13150255,0.18144546,0.9710518,0.12665479,0.14940383,0.35537517,0.050131433,0.15547132,0.05622287,0.24021478,0.06391797,0.041777078,0.106189944,0.14370115,0.0648657,0.09657174,0.079593375
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-402.43414,186.48817,-73.43262,24.68966,29.512241,6.6856112,-11.001618,-7.443049,-10.654055,-21.092125,-18.019526,-15.028171,-18.39533,41.540016,17.252504,23.130074,14.340004,9.291478,7.186151,7.166108,7.3060775,7.7871513,6.9516726,5.675603,5.2533545,6.101937,0.10449026,0.119659506,0.74242306,0.09304302,0.108764924,0.17659563,0.17778222,0.7907112,0.18225424,0.31236994,0.39917567,0.20877583,0.06202907,0.08546278,0.28463817,0.0761806,0.0770933,0.13366328,0.08318806,0.23341446,0.16915724,0.15810233,0.2854628,0.075142525
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-387.45737,180.19632,-75.30859,27.372484,32.737038,1.9223229,-8.093155,-12.848855,-21.16038,-30.26228,-10.506869,-3.513004,-19.849226,39.689445,15.892926,20.643076,13.3992405,11.863245,7.273709,7.5013313,4.7861342,7.170536,7.1561556,6.3520923,4.544993,6.245941,0.08889255,0.089519575,0.5860676,0.12146218,0.09297289,0.68181306,0.08396777,0.0863042,0.11481769,0.8785108,0.11864146,0.07559733,0.03524987,0.05105215,0.26204988,0.06408665,0.045017693,0.25695986,0.055558838,0.05122591,0.08304918,0.21234956,0.088419795,0.043139778
