track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-760.5624,43.976665,6.1023893,23.25337,12.705143,0.79989886,4.6787176,6.5582414,5.4400406,7.161374,18.234388,4.333164,2.5766013,66.85026,17.287165,8.2606535,8.931063,7.7468486,5.8737845,7.8080797,5.625102,4.3731093,3.4887676,6.0676804,3.8584464,4.3668685,0.407849,0.39138103,0.5414012,0.5162501,0.65306246,0.8802354,0.39902192,0.28740403,0.36967933,0.44618052,0.29817918,0.3276194,0.1818874,0.2314713,0.32616693,0.27345023,0.2617221,0.18094829,0.14174959,0.16598178,0.21499217,0.28363177,0.21450652,0.17401674
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-770.05597,45.437843,8.234732,19.564621,11.926112,-0.32194743,3.9272335,6.8046694,5.9879003,8.911942,15.626783,2.0930073,-0.095365226,60.86775,14.1328535,5.4723973,8.703544,6.2417507,5.7479796,6.8396378,5.3187723,3.868968,4.530903,6.435177,3.6200285,3.9704688,0.34356403,0.37237692,0.58809215,0.4553292,0.4534924,0.7966913,0.43333384,0.5830778,0.41843325,0.5114686,0.34663302,0.31416997,0.18307197,0.21996565,0.2750982,0.23295493,0.1955709,0.280288,0.14190167,0.3199984,0.19388346,0.25329217,0.18018246,0.15087421
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-424.961,187.58492,74.44417,48.86897,31.805246,13.443694,14.839149,12.283379,6.180459,5.0094376,4.8881307,2.8360822,-0.9529352,56.94968,47.551487,20.800123,15.027656,10.38506,6.940962,5.458125,5.360331,5.3375425,4.339343,4.6700926,3.606679,3.1803188,0.26192155,0.6215658,0.92077583,0.6271524,0.26785675,0.15727995,0.105234295,0.11037668,0.1708723,0.26868963,0.16093053,0.14208858,0.12845235,0.19075735,0.22318277,0.15838045,0.19585234,0.217524,0.20106949,0.2531626,0.14442702,0.12748918,0.114794016,0.12624136
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-411.82025,184.10825,74.21771,41.253986,26.794477,8.54207,5.8323884,1.8604225,-5.979784,-5.051253,-2.3340006,-4.023982,-5.8008347,41.182514,17.36378,12.74563,8.871248,6.134935,6.60729,6.1900077,6.2401853,6.636851,5.977681,4.494595,5.835907,3.7386618,0.18978384,0.6045225,0.93848705,0.4524063,0.10618589,0.031931326,0.031251427,0.042939477,0.06491419,0.06639146,0.052705307,0.059656937,0.13587116,0.1680774,0.20909783,0.13760854,0.13017932,0.06918507,0.0837997,0.12581635,0.19169442,0.17869784,0.13427767,0.118930645
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-422.47314,176.81693,82.95461,52.10527,36.81692,17.204521,15.77002,16.359917,8.963316,7.354131,9.556384,7.180538,1.6009444,34.067562,14.714887,14.194901,8.153723,7.517817,6.2536554,5.5968385,5.43602,4.9217896,4.9649286,4.724135,4.106736,3.4607358,0.30050677,0.60628206,0.87220025,0.63779426,0.2949885,0.16208272,0.104754105,0.09695479,0.18140809,0.27344736,0.22768286,0.20844914,0.17211628,0.22731239,0.29172826,0.18608049,0.18465236,0.18970989,0.17968984,0.17140916,0.20842785,0.22958998,0.23796824,0.2016336
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-428.6376,167.26627,75.08429,41.54902,30.276886,13.808549,8.061086,6.614024,-0.5872029,-3.4246056,-0.6703493,-1.5910604,-5.8631535,42.237053,16.043041,14.1445055,8.161792,6.8399944,7.672384,7.3534894,7.0207157,6.39327,5.4142437,4.5737934,5.076861,4.65505,0.16979502,0.5083558,0.7445882,0.40709025,0.10954093,0.06707504,0.111901045,0.17592065,0.28276557,0.26821294,0.16813385,0.09343243,0.11644334,0.28684396,0.405873,0.21753208,0.12793738,0.14149748,0.22036183,0.28090894,0.3984518,0.3863309,0.257468,0.12754646
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-495.21643,137.48131,75.80543,50.395073,39.839962,29.961224,23.96956,17.666697,10.158937,7.7073345,9.028691,5.5771713,-0.07043199,62.118668,43.83516,15.90381,8.801207,5.6914506,6.9951,5.7654276,5.299189,5.2686877,4.7013383,3.5998192,4.2663317,5.884955,0.32056615,0.64198583,0.9562696,0.76148736,0.3684977,0.19027568,0.08490257,0.045307193,0.13136914,0.25966337,0.1894931,0.2010471,0.084930085,0.1266214,0.16600908,0.11302156,0.16623995,0.1705493,0.1252088,0.109291404,0.13182399,0.20151328,0.12833576,0.087920554
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-862.6491,70.11627,16.564009,17.664211,13.192662,11.056751,6.938494,5.384858,0.22641881,1.1375068,5.880491,5.0203447,1.4219872,65.763596,32.178215,9.718739,10.351443,4.927039,7.8758874,5.363514,4.940342,4.747655,3.8768396,4.8250475,4.2319994,4.119775,0.4563985,0.43326417,0.51729643,0.54011565,0.7449602,0.8343716,0.4349997,0.3308219,0.37214375,0.5139743,0.4609766,0.3778585,0.22321753,0.20428064,0.24237035,0.23823872,0.23601538,0.20801114,0.1456581,0.1492624,0.17596266,0.28973007,0.25336888,0.19519123
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-845.401,63.4542,2.917732,9.569423,4.8586607,6.265399,-2.6837633,-0.6022727,-6.500578,-0.9497432,-1.5030811,-3.6170743,-4.6152825,42.140633,9.423005,6.7034945,6.2934194,6.990023,4.818625,5.1007233,5.124612,5.385107,5.4381976,4.7580376,5.0773807,4.1748,0.34288254,0.35251716,0.569079,0.46357274,0.3083148,0.42671126,0.41209364,0.50191265,0.5763708,0.5952268,0.7883583,0.6163669,0.20464124,0.19204158,0.25565872,0.23433445,0.19285432,0.21866566,0.19745953,0.2576102,0.24942414,0.259115,0.2615559,0.26802936
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-876.25104,54.560467,2.606687,7.4292502,5.7595096,7.6626077,3.2757454,1.0114065,-3.671233,2.3235612,2.3519983,4.8717303,-1.1908646,66.60828,11.010422,6.434096,4.6172476,7.1653795,4.5260415,5.734079,5.0163765,5.405406,4.979593,3.8784046,3.8853395,3.8147194,0.40756065,0.4347833,0.6537846,0.56697893,0.51378727,0.8335083,0.6043034,0.41768083,0.4472096,0.764664,0.6436534,0.4108991,0.21668741,0.17450233,0.23287727,0.21815933,0.17885163,0.19457503,0.16693649,0.20154221,0.19764148,0.22911663,0.17100847,0.20014462
