track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,0.11699331,0.13518585,0.79555976,0.1424415,0.15873712,0.47450295,0.14898539,0.14098756,0.15664811,0.72155327,0.14232963,0.09404976,0.049628995,0.065909065,0.29603153,0.056769382,0.06827238,0.21169133,0.09032201,0.12491226,0.12312908,0.26073176,0.12853846,0.03432124
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,0.29367742,0.15101835,0.109978415,0.18849176,0.19851162,0.8292826,0.17099963,0.12540707,0.12608078,0.83725977,0.16907097,0.106265254,0.124758914,0.08523358,0.061815064,0.07082672,0.091093816,0.24194607,0.07523907,0.059988935,0.08228821,0.1904311,0.08392805,0.061039843
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,0.16068536,0.17054118,0.80576843,0.15943596,0.17091736,0.21839474,0.24502733,0.83987147,0.18099102,0.4663462,0.5797395,0.21622816,0.08851068,0.098995045,0.2534776,0.082707986,0.07816575,0.15478063,0.08413978,0.17170255,0.09439021,0.22412816,0.186752,0.09042336
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,0.13371502,0.53720665,0.29496711,0.15242757,0.55652016,0.15390962,0.12292891,0.23272346,0.22389244,0.92565626,0.16665807,0.18805057,0.07241424,0.2439924,0.27764052,0.16066962,0.26529235,0.07284558,0.055874467,0.12612624,0.099264145,0.13761133,0.10761297,0.09169874
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,0.24363396,0.16518204,0.5451208,0.18124579,0.17751819,0.65725106,0.2193248,0.19280337,0.20227626,0.33449247,0.97432053,0.40154487,0.1372173,0.094278716,0.21983725,0.08825677,0.11181829,0.18712804,0.103916496,0.10862822,0.10961195,0.12236644,0.06264215,0.24199189
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,0.99780136,0.16429803,0.17511001,0.14096437,0.3970903,0.1288963,0.17639844,0.46302,0.17678125,0.15469365,0.17326197,0.25742304,0.017861651,0.15644945,0.14674667,0.13402362,0.21853045,0.07286138,0.13083947,0.22532234,0.1246338,0.10876404,0.1562081,0.12928227
st12-jangan_pernah_berubah,pre-chorus,F,I,72.190839002,72.98031746,0.98770183,0.17139038,0.15403906,0.16266532,0.3080145,0.5554103,0.18346336,0.18186061,0.13687144,0.25022662,0.13709478,0.20167892,0.04508591,0.10939608,0.12650746,0.14157276,0.24686289,0.18256277,0.12685436,0.08571838,0.1037536,0.07838902,0.07163949,0.14609635
st12-jangan_pernah_berubah,pre-chorus,Em,vii,72.98031746,73.793015873,0.7246564,0.31874904,0.39663908,0.37153986,0.92407924,0.47552913,0.27447173,0.5148764,0.4105524,0.5469601,0.29206407,0.48166263,0.24942985,0.15986519,0.26571378,0.13933496,0.14402202,0.24026653,0.135174,0.28500968,0.24761485,0.17147462,0.10117051,0.14309129
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,73.793015873,75.348752834,0.102316596,0.21437335,0.6873467,0.18027909,0.28643897,0.17909932,0.1461883,0.24196768,0.21475427,0.9287805,0.15967548,0.09818846,0.061625894,0.089917675,0.20755725,0.09977726,0.16980311,0.08565282,0.11131278,0.3222464,0.13375197,0.14696208,0.095819324,0.06773113
st12-jangan_pernah_berubah,pre-chorus,Em,vii,75.348752834,76.834829932,0.1666195,0.18844025,0.58391136,0.23569351,0.9622005,0.2824031,0.23897745,0.41186726,0.29974926,0.7888273,0.6236566,0.58409566,0.09285946,0.07252151,0.23471755,0.09018569,0.076255776,0.123539165,0.16778934,0.16128424,0.11714379,0.18398847,0.21030731,0.24686074
