track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.53947,173.08969,-28.67655,23.970285,7.390615,2.7897472,6.978958,-0.59825826,-2.1196742,5.0299397,8.1644335,3.5148158,-7.2998557,81.70674,38.2139,14.787119,11.599048,12.847928,5.2042146,7.009358,5.1775765,4.1174345,6.536894,3.9253578,5.7996984,6.026277,0.10887983,0.17612553,0.8128815,0.10265071,0.28538212,0.46002012,0.14640398,0.089044355,0.14751661,0.5653464,0.06675219,0.07661194,0.048212595,0.100538425,0.24920301,0.117667906,0.32218048,0.38512993,0.062018268,0.05458442,0.060296714,0.18832473,0.033762947,0.03712024
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.77036,184.47797,-25.66151,20.282326,8.179006,3.254343,3.9419646,-3.6541355,0.74267906,8.246773,3.9913886,-2.8933592,-8.854734,60.84708,21.652237,15.193253,8.861614,12.240899,5.567446,6.274839,5.9105287,5.5605154,4.1475997,3.4714932,5.9212413,5.253386,0.1122692,0.16023983,0.8200365,0.106722035,0.08201534,0.3593123,0.15081209,0.43772438,0.14158405,0.6115479,0.07785078,0.082511395,0.05993098,0.10717676,0.26557702,0.12765707,0.08703541,0.33636767,0.066541284,0.3744696,0.08244159,0.2108882,0.058509663,0.046751633
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-90.965515,165.85521,-78.13701,57.55902,-6.182412,1.3772622,4.9763055,0.5622468,-3.3681085,-7.901519,-4.196702,1.3521849,-2.992198,45.482044,20.411268,24.69187,17.451471,8.848841,8.002898,9.516527,7.709889,8.072486,6.729269,4.9670253,5.948954,4.4103203,0.1588184,0.23252662,0.6277274,0.17737184,0.39931324,0.35108727,0.17146602,0.19467556,0.21117303,0.98310244,0.20061177,0.1912062,0.07564201,0.076679654,0.2085456,0.07373591,0.19670612,0.19976011,0.07416925,0.16420533,0.10137577,0.060988817,0.12142678,0.10752438
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-85.90366,155.74214,-63.600822,48.239258,-0.15595365,-2.2523086,3.197749,-2.4727607,-4.7052317,-11.126668,-3.121226,-3.193953,-6.1244516,42.515285,23.936598,22.535606,17.618008,12.958514,7.2532587,10.49747,6.416889,6.7130485,6.018362,6.9309916,7.255519,5.784041,0.16119139,0.18686923,0.8182126,0.19487843,0.18341146,0.30854642,0.19995607,0.67112464,0.32628566,0.6637043,0.50764143,0.2087917,0.05852282,0.08266603,0.18184982,0.07612184,0.102226146,0.20293964,0.08876782,0.33507937,0.1573352,0.2502989,0.2419424,0.07728324
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-78.50025,161.44414,-82.47334,65.31481,-12.023263,2.3439238,1.0678747,2.0401964,-3.6447432,-8.745432,-3.627226,1.1170666,-1.0031148,27.188204,13.3638525,12.26393,11.462796,7.209632,7.705909,7.1739054,5.7402225,7.21613,6.273147,6.3878465,5.305135,4.541372,0.18012607,0.29565492,0.7866845,0.2406824,0.5120199,0.42305902,0.19404827,0.20786977,0.22728969,0.9546696,0.2028478,0.17949751,0.082428545,0.13866569,0.1619294,0.13532507,0.2702114,0.25793225,0.11572079,0.13550882,0.09502327,0.09530402,0.09145974,0.08721246
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-93.87932,148.56145,-55.237408,46.819527,2.375668,-2.102391,0.6373392,2.9610326,-3.895218,-9.542111,-7.38607,-5.342444,-7.697616,38.74511,25.964874,29.103693,19.234823,11.792041,8.858936,9.405552,5.7656546,5.243682,5.359697,7.359646,9.57691,6.793467,0.14069135,0.15272656,0.8146089,0.1695303,0.15919499,0.28581008,0.17958651,0.65181875,0.21050976,0.4942983,0.49411178,0.19162445,0.07619918,0.10327612,0.18606837,0.08680851,0.12004686,0.23266886,0.12339847,0.3659566,0.08840499,0.15038095,0.2799754,0.08166539
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-243.63936,193.29245,-24.358133,18.03465,33.304047,5.7784233,-1.8882872,0.9302838,-9.020496,-14.608885,-5.727006,-2.6615975,-12.901703,71.97571,29.026396,22.062294,11.083193,14.410578,7.1580057,5.7384872,4.423169,7.267866,7.054279,5.179909,5.101474,4.137093,0.09014456,0.11181274,0.774459,0.103511676,0.1385796,0.2174107,0.11146513,0.5734364,0.1473707,0.9647182,0.0903703,0.088255666,0.036282174,0.05314693,0.2120416,0.04599609,0.047341205,0.1611538,0.083771706,0.22396892,0.084731996,0.09271555,0.05152504,0.058416907
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-392.48456,193.3987,-64.01931,24.712513,30.606783,-1.0304773,-7.753306,-5.8819194,-10.06463,-24.825825,-21.29496,-14.133819,-10.386274,45.838688,11.811335,23.376265,16.302044,8.978861,8.066008,6.6264057,5.8865695,6.0179186,5.5236344,7.751029,6.093088,7.117818,0.58532727,0.10078266,0.18701267,0.06858948,0.4852906,0.08708296,0.061902743,0.1293478,0.18052548,0.9706843,0.13138719,0.1440538,0.35659057,0.045661777,0.14745687,0.04421477,0.23842983,0.064037904,0.040435016,0.103655405,0.14192632,0.06451429,0.09644016,0.07650875
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-403.96677,187.90405,-75.21953,25.570242,28.449392,6.864738,-11.397339,-7.900743,-10.584738,-21.864758,-17.753208,-15.86088,-18.242392,42.101547,16.916935,21.636633,13.322758,9.733431,7.375747,7.1236653,7.246399,8.099905,7.199865,5.7409034,5.0211315,6.189783,0.104796305,0.12340993,0.7416941,0.091093644,0.10980203,0.17667326,0.18160349,0.7920199,0.1781602,0.31697178,0.39995608,0.20636073,0.062819384,0.08709678,0.2849842,0.074740924,0.0792695,0.13395375,0.0852659,0.23316479,0.16786698,0.16052502,0.28373742,0.07424071
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-389.01627,181.19603,-77.028564,27.811123,31.626446,1.81874,-8.755955,-13.316549,-21.594799,-30.911884,-10.804812,-4.1747723,-20.160423,39.762856,14.086572,18.945555,12.055915,11.894388,7.744626,7.59536,5.038827,7.252003,7.2950106,6.3702173,4.598394,6.1821322,0.0888063,0.089378834,0.58607465,0.12136579,0.09286784,0.6818324,0.083801895,0.086241014,0.11487808,0.87834126,0.118574105,0.075536884,0.035294488,0.051006876,0.2620324,0.06405703,0.045058582,0.25699082,0.055541012,0.051166467,0.083188616,0.21252006,0.08846795,0.043177076
